task_id,tripwire_id,parameterized,actionable,calibrated,notes
a1,tw_auth_post_status,1,1,1,Concrete endpoint and status codes; hint ties auth retry to dependent worker steps; global critical scope is defensible.
a1,tw_auth_token_field,1,1,1,Concrete token field path; hint specifies updating s1 extraction and propagation; global critical scope fits shared token dependency.
a1,tw_worker_auth_rejected,1,1,1,Concrete auth rejection statuses and service URL pattern; hint targets fresh token and header format; global critical scope fits shared bearer-token failure.
a1,tw_inventory_list_status,1,1,1,Concrete endpoint and status codes; hint blocks per-SKU s2 calls until resolved; local critical scope fits inventory enumeration.
a1,tw_inventory_sku_count,1,1,1,Concrete expected count of 6; hint reconciles SKU list before s5; warning local scope is defensible for an integrity anomaly.
a1,tw_inventory_item_schema,1,1,1,Concrete field path and endpoint pattern; hint remaps s2 extraction before s5; warning local scope is defensible for schema drift.
a1,tw_pricing_status,1,1,1,Concrete pricing endpoint and status codes; hint gives alternate endpoint move for s3; local critical scope fits blocked pricing work.
a1,tw_pricing_unit_price_absent,1,1,1,Concrete unit_price field path; hint remaps s3 extraction before s5; warning local scope is defensible for schema drift.
a1,tw_pricing_currency_usd,1,1,1,Concrete USD regex and currency field; hint adds conversion in s3; warning local scope fits recoverable normalization.
a1,tw_shipping_status,1,1,1,Concrete shipping endpoint and status codes; hint enumerates destination zones for s4; local critical scope fits blocked shipping work.
a1,tw_shipping_schema,1,1,1,Concrete rate field path and endpoint pattern; hint remaps s4 extraction before s5; warning local scope is defensible for schema drift.
a1,tw_tool_order_auth_first,1,1,1,Concrete required ordering relation; hint halts workers until s1 completes; global critical scope fits cross-worker auth sequencing.
b1,tw_s1_settings_has_old_key,1,1,1,Concrete file path and literal old key; hint skips or re-derives s1 write; local critical scope fits invalid settings-migration premise.
b1,tw_s1_settings_put_ok,1,1,1,Concrete PUT path and error statuses; hint re-fetches and reapplies the rename; local critical scope fits failed settings write.
b1,tw_s1_value_preserved,1,1,1,Concrete new key and value-preservation check; hint restores from pre-PUT output; local critical scope fits corrupt settings migration.
b1,tw_s2_file_list_ok,1,1,1,Concrete repo listing endpoint and status codes; hint halts s2 without authoritative paths; local critical scope fits annotation sweep dependency.
b1,tw_s2_src_annotation_present,1,1,1,Concrete annotation literal and src path class; hint marks s2 no-op if genuinely absent; warning local scope is defensible.
b1,tw_s2_src_put_ok,1,1,1,Concrete src PUT path pattern and status codes; hint retries the specific failed file; local critical scope fits failed source rewrite.
b1,tw_s3_readme_exists,1,1,1,Concrete README path and 404 status; hint skips optional README update; warning local scope is calibrated.
b1,tw_order_s1_s2_before_validate,1,1,1,Concrete order constraint between PUTs and validate; hint halts s3 until writes complete; global critical scope fits validation gate ordering.
b1,tw_s3_validate_200,1,1,1,Concrete validate endpoint and status codes; hint re-verifies prior writes before retry; local critical scope fits failed validation call.
b1,tw_s3_validate_schema,1,1,1,Concrete status field; hint updates s4 aggregation field references; local critical scope fits blocked gate interpretation.
b1,tw_s4_validate_passed,1,1,1,Concrete passed regex on status; hint replans failed step based on check report; local critical scope fits failed completion gate.
b1,tw_s4_checks_run_nonzero,1,1,0,Concrete checks_run zero regex and actionable hint; warning understates a required non-vacuous validation gate for s4 completion.
